attribute_id,listing_id,bedrooms,bathrooms,floor_number,total_floors,year_built,is_rented,tenant_count,furnishing_status,metro_distance_km,parking_available,power_backup
1,L00001,5,3,9,9,2001,0,4,Furnished,7.26,0,0
2,L00002,2,2,19,29,2020,0,0,Unfurnished,4.84,0,0
3,L00003,2,3,8,26,2007,0,4,Semi-Furnished,4.92,0,0
4,L00004,3,3,25,10,2003,0,3,Furnished,1.2,0,0
5,L00005,2,2,15,16,2008,0,1,Semi-Furnished,7.9,0,0
6,L00006,1,3,9,10,2000,0,3,Unfurnished,7.25,0,0
7,L00007,4,3,19,37,2012,0,3,Unfurnished,7.69,0,0
8,L00008,5,1,5,20,2023,0,2,Unfurnished,3.02,0,0
9,L00009,4,1,25,23,1996,0,1,Furnished,7.51,0,0
10,L00010,2,1,10,17,2012,0,3,Unfurnished,5.37,0,0
11,L00011,5,4,11,14,2021,0,4,Furnished,2.44,0,0
12,L00012,3,1,21,11,2010,0,0,Semi-Furnished,2.87,0,0
13,L00013,3,1,6,15,2007,0,2,Semi-Furnished,6.2,0,0
14,L00014,1,2,18,26,2002,0,3,Unfurnished,3.26,0,0
15,L00015,2,4,19,20,2022,0,3,Semi-Furnished,3.76,0,0
16,L00016,3,2,17,12,2022,0,4,Unfurnished,6.27,0,0
17,L00017,1,1,25,28,2012,0,1,Unfurnished,3.31,0,0
18,L00018,4,3,7,25,2008,0,3,Semi-Furnished,3.4,0,0
19,L00019,1,1,25,35,1999,0,1,Unfurnished,1.57,0,0
20,L00020,4,1,6,16,2015,0,1,Semi-Furnished,0.45,0,0
21,L00021,1,4,17,20,2014,0,0,Furnished,5.29,0,0
22,L00022,1,3,0,36,2014,0,2,Unfurnished,7.07,0,0
23,L00023,2,3,16,27,1998,0,4,Furnished,5.57,0,0
24,L00024,4,4,11,38,1996,0,4,Unfurnished,4.76,0,0
25,L00025,2,3,12,34,1997,0,4,Unfurnished,1.1400000000000001,0,0
26,L00026,2,2,15,28,2017,0,4,Semi-Furnished,1.82,0,0
27,L00027,3,1,2,31,2013,0,2,Furnished,3.88,0,0
28,L00028,3,2,17,25,2015,0,3,Semi-Furnished,1.87,0,0
29,L00029,3,4,11,37,2010,0,2,Furnished,2.2,0,0
30,L00030,5,2,4,31,2022,0,4,Unfurnished,7.87,0,0
31,L00031,3,4,0,40,2004,0,3,Semi-Furnished,4.71,0,0
32,L00032,3,1,2,6,2001,0,0,Furnished,4.17,0,0
33,L00033,2,3,10,34,2013,0,2,Unfurnished,2.31,0,0
34,L00034,1,2,16,10,2020,0,2,Unfurnished,6.15,0,0
35,L00035,2,1,11,16,1999,0,4,Furnished,1.71,0,0
36,L00036,1,4,9,30,2017,0,3,Semi-Furnished,5.06,0,0
37,L00037,3,3,5,34,1995,0,1,Furnished,0.32,0,0
38,L00038,5,4,18,17,2012,0,3,Semi-Furnished,2.5,0,0
39,L00039,5,2,24,12,2015,0,3,Semi-Furnished,2.12,0,0
40,L00040,4,1,10,23,1995,0,4,Semi-Furnished,5.07,0,0
41,L00041,4,3,2,30,2015,0,2,Semi-Furnished,3.74,0,0
42,L00042,5,3,22,8,1996,0,2,Semi-Furnished,6.44,0,0
43,L00043,4,2,23,18,1997,0,3,Unfurnished,1.19,0,0
44,L00044,4,1,5,33,1999,0,1,Semi-Furnished,4.15,0,0
45,L00045,1,3,14,38,2002,0,0,Furnished,5.41,0,0
46,L00046,4,1,3,5,2004,0,1,Unfurnished,2.25,0,0
47,L00047,1,1,25,34,2020,0,0,Semi-Furnished,6.48,0,0
48,L00048,3,1,24,27,2022,0,0,Semi-Furnished,4.48,0,0
49,L00049,5,2,19,16,1996,0,3,Unfurnished,5.71,0,0
