Listing_ID,Sale_Price,Date_Sold,Days_on_Market
L01179,925580.004192771,2023-07-07,65
L00866,105416.0014382316,2023-06-14,38
L00102,1825184.0041347,2023-09-09,22
L00440,1932085.0084187884,2023-10-29,72
L00059,776585.9911571154,2023-05-01,116
L01121,1252918.0116312888,2024-01-07,59
L00324,1537235.0003294677,2023-11-26,6
L00975,308983.0150964557,2023-12-24,40
L00412,184809.0036776458,2024-05-25,106
L00856,1220847.001260433,2024-06-30,62
L00821,1895335.002943501,2024-02-11,53
L00045,480962.9983021546,2023-11-17,90
L00050,655224.9932450264,2023-07-11,45
L00850,1605735.9951829622,2024-03-06,71
L00241,899304.0028009254,2023-08-31,92
L00171,814051.9966429004,2024-05-21,9
L00524,1029698.0002085194,2023-11-12,17
L00766,1341278.9804039611,2023-10-15,73
L00839,1686756.00887227,2023-10-11,85
L00424,1521562.9906130726,2024-06-06,49
L00381,357252.01579798607,2023-11-11,113
L00610,1635927.0045758677,2023-08-20,59
L00677,654602.0016088365,2024-03-27,82
L00345,1548930.0040768508,2023-07-10,88
L00110,1644740.005961285,2024-07-04,114
L00278,1063146.9981931509,2023-10-07,39
L00678,979898.0093709418,2024-06-27,46
L00571,1174724.9982576475,2023-12-03,38
L00359,1384520.995086192,2023-12-20,39
L00599,1782209.0045510258,2023-04-26,107
L00391,414127.00044853054,2023-02-03,16
L00894,1222137.9831587544,2023-12-10,36
L00693,1516083.002591926,2023-10-14,88
L00728,1346678.005164858,2024-03-19,78
L00363,1460652.9995358272,2023-11-06,55
L00597,1194547.0112947556,2023-09-06,63
L00428,1678296.9982422574,2024-03-27,103
L00071,985345.003707629,2023-04-23,91
L00322,1643866.0059238935,2024-05-10,99
L00653,1067719.9979976686,2024-03-11,35
L01066,429431.0051444249,2023-06-05,97
L00108,975994.0004156748,2023-07-16,91
L01109,1587449.9845154823,2024-06-26,79
L00356,1226126.0047928272,2023-09-16,103
L00951,853221.9966461832,2023-05-05,28
L00343,151293.00055999312,2023-11-23,71
L00355,1668996.017817194,2023-09-27,48
L00024,1309510.9956668497,2023-10-16,91
L00044,902583.9839053744,2024-05-17,92
L00244,1806308.010265092,2023-08-21,28
L00738,800839.9984437629,2024-02-01,44
L01136,1659988.0004001372,2023-06-24,75
L00368,1705012.0029722324,2023-09-27,5
L00164,1345214.9868631242,2023-04-15,91
L01116,193622.00521368132,2024-04-18,5
L00333,1199060.000346722,2023-10-03,111
L00989,1827054.9936204008,2023-05-06,12
L01173,593293.0011511784,2023-03-21,6
L01002,1715468.994700519,2023-07-03,56
L00378,192964.99905257765,2023-02-13,17
L00310,806272.9996450209,2024-05-16,71
L00156,444558.9953366547,2023-08-16,17
L00211,1864353.0012288853,2023-08-12,91
L00087,1508970.9995702328,2023-08-18,62
L00169,801199.9750930854,2024-02-09,49
L00995,475304.9922977069,2023-06-27,33
L00052,1651119.9900330596,2023-05-07,96
L00439,913360.9930901296,2024-03-10,40
